link,Attraction_Title,Segmento,Attration_rate,Attration_evaluation,Name_of_contributor,Tittle_of_Contribution,Rate_of_contribution,Date_of_contribution,Contribution,Numbers_of_fotos,Attration_Excellent,Attration_Very_good,Attration_Average,Attration_Poor,Attration_Terrible,Reviews_user,Origin_of_contributor,Contributor_activity,Date_of_visit,Helpful_to,Reviews_rating,Reviews_title,Reviews_body,Who_is_asking,Where_the_asker_is_from,Asker_activity,Question,Aswer,Answer_activity,Answer_orign,Answer,Length_of_review,Grupo
NA,Arrombado Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JOSELMA SOARES ... S,"-5.0937396,-42.74107815",14,"November 9, 2018",0,5,maravilhas,"melhor praia de banho, com ondas que estimula a vontade de não sai do mar, águas limpas e cristalinas.",NA,NA,NA,NA,NA,NA,NA,NA,19,Promotor
NA,Arrombado Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lars Eckardt,"-2.89040355,-41.64943345",21,"August 29, 2018",1,5,Praia ideal para kitesurf e longos banhos!,Linda praia com pouco movimento e boas opções para relaxar e disfrutar da bela natureza. O mangue atrás da praia tem lagoas idílicas com água morna.,NA,NA,NA,NA,NA,NA,NA,NA,26,Promotor
NA,Arrombado Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Isalencar,NA,114,"March 24, 2018",2,4,Lugar tranquilo,"A praia costuma ser tranquila (raríssimas exceções). É ótima para ir com crianças pois o mar normalmente é calmo. Quando a maré está baixa formam “piscininhas” na areia.
Recomendo a barraca Verdes Mares, é a última das barracas. Estrutura simples como a maioria das barracas do litoral piauiense, pratos saborosos. Aceita cartão.
O caranguejo ao leite de côco é divino 😋 Tb recomendo a peixada ao leite de côco e o Pargo. Tudo muito bom.
Os funcionários costumam ser bem atenciosos e simpáticos.",NA,NA,NA,NA,NA,NA,NA,NA,83,Promotor
NA,Arrombado Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,helio j,"-21.1163852,-42.9349799",10,"December 19, 2017",2,5,considerei essa praia maravilhosa fomos caminhando do carnaubinha ate ela super tranquila,"é uma praia afastada, fomos caminhando do carnaubinha pela beira mar ate ela. é tranquila, muito limpa e com algumas piscinas naturais. existe ponto de apoio e fomos muito bem recebidos na simples barraca da dona santinha, que por sinal nos preparou um almoço bem gostoso. nao e um local de luxo, e simples, para quem quer paz, tranquilidade e curtir uma bela praias, sem duvidas e o local ideal",NA,NA,NA,NA,NA,NA,NA,NA,70,Promotor
NA,Arrombado Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jayne M,NA,35,"December 18, 2017",0,5,Linda e calma,"Fui em um domingo pela manhã e estava bem calma, tem barracas simples, mas não consumi nada, consegui estacionar sem problema e rápido chega nas águas lindas dessa praia! Dá para aproveitar bem o mar na calmaria!",NA,NA,NA,NA,NA,NA,NA,NA,37,Promotor
NA,Arrombado Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Douglas Oliveira,"-23.6665376,-46.44096495",161,"May 30, 2017",0,4,Para Surf Kite surf e outros esportes é boa demais,Praia afastada uns 3km por estrada de terra da rodovia asfaltada é bem tranquila e tem alguns quiosques pra quem deseja ficar na praia pro mais tempo. Devido ao mar agitado poucas pessoas entravam no mar para banhar e a grande maioria praticava surf ou kite surf na praia. A vista da praia é linda e pra quem curte ficar na areia admirando a paisagem e as pessoas praticando surf é uma excelente ideia.,NA,NA,NA,NA,NA,NA,NA,NA,74,Promotor
NA,Arrombado Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Isac F,"-5.1073053,-42.85006625",23,"May 9, 2017",1,4,Praia agradável,"É uma praia mais afastada, porém ótima pra ter uma experiência mais sozinho, não é de grande luxo, porém as pessoas são acolhedoras, as barracas são simples.",NA,NA,NA,NA,NA,NA,NA,NA,27,Promotor
NA,Arrombado Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rui H,"-2.4515907,-54.7377387",62,"January 10, 2017",0,2,Abaixo da média para a região,"A praia é popular, tem ondas médias e alguns quiosques. Pode-se alugar pranchas para praticar bodyboard nas ondas da praia. O acesso não é asfaltado e a infraestrutura é baixa comparada às outras praias.",NA,NA,NA,NA,NA,NA,NA,NA,34,Detrator
NA,Arrombado Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Santos,"-5.0937396,-42.74107815",53,"December 25, 2016",0,4,Boa praia!,"A praia e numa região isolada, mas com sossego pra aproveitar uma boa comida! Recomendo! Lugar muito bom.",NA,NA,NA,NA,NA,NA,NA,NA,18,Promotor
NA,Arrombado Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FgaBRUNA,"-5.79991895,-35.22224415",350,"December 13, 2016",0,4,Lugar tranquilo,"O nome me fez ir conhecer essa praia...rsrss A praia é linda,não muito frequentada e bem reservada.Mar ótimo para banho e ralaxar",NA,NA,NA,NA,NA,NA,NA,NA,22,Promotor
NA,Arrombado Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oscar Luiz 🇧🇷,"-15.61440735,-56.041807",8197,"November 5, 2016",1,4,Leve protetor solar e se hidrate bastante!,"Praia tranquila em todos os sentidos: mar tranquilo e pouco frequentada.
Preservada, limpa e bonita, é boa para toda a família, incluindo crianças.
Leve protetor solar e se hidrate bastante.",NA,NA,NA,NA,NA,NA,NA,NA,30,Promotor
NA,Arrombado Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rodrigo Q,"-23.71047605,-46.422851",76,"October 26, 2016",0,5,Um espetáculo!!,"Praia pouco explorada super limpa e com vista fantástica com a maré baixa, pois formam-se várias piscinas que além de compor um lindo visual as crianças aproveitam demais",NA,NA,NA,NA,NA,NA,NA,NA,28,Promotor
NA,Arrombado Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,David F,NA,24,"September 14, 2016",0,5,òtima,"Pra quem procura diversidade cultura, em dias de comemoração como carnaval pode se encontrar na praia do arrombado, uma das praias mais lindas do litoral piauiense vale a pena",NA,NA,NA,NA,NA,NA,NA,NA,29,Promotor
NA,Arrombado Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MaRcYa L,"-5.0937396,-42.74107815",5,"September 12, 2016",1,5,Lugar tranquilo e excelente,"Ideal para quem não gosta de lugar agitado. Essa praia é perfeita para famílias com crianças, pois os pais ficam mais tranquilos.",NA,NA,NA,NA,NA,NA,NA,NA,22,Promotor
NA,Arrombado Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Juliete Silva,"-23.69835965,-46.61343115",50,"September 9, 2016",0,5,Melhor praia da região.,"Excelente praia, limpinha, sossegada...tranquilo para as crianças brincarem , pois não existe perigo com os quadriciclos e etc..
Sobre o restaurante que ficamos , gostei muito do atendimento.",NA,NA,NA,NA,NA,NA,NA,NA,28,Promotor
NA,Arrombado Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cristiane Burlamaqui,"-5.0937396,-42.74107815",46,"July 26, 2016",2,5,Praia maravilhosa.,A praia do arrombado é ideal para quem gosta de banhar e aproveitar o mar. As barraquinhas de praia são simples. Mas oferece um serviço bom e cerveja gelada. É um lugar extremamente tranquilo e bem familiar. O mar é limpo e a água quentinha. Ideal para casais com crianças pequenas.,NA,NA,NA,NA,NA,NA,NA,NA,51,Promotor
NA,Arrombado Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tekabrito,"-5.0937396,-42.74107815",32,"April 20, 2016",0,4,mar calmo,"A praia é muito bonita e tem um mar bem calmo, propicio para pessoas que não buscam muito movimento e sim uma tranquilidade.",NA,NA,NA,NA,NA,NA,NA,NA,23,Promotor
NA,Arrombado Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EllenGera,"-5.1864402,-42.78481955",34,"April 3, 2016",1,4,Praia com clima rústico,"Indo a Luís Correia, a grande parte dos turistas ficam entre as praias de Atalaia e Coqueiro. Entretanto, dirigindo um pouco mais chega-se a entrada da Praia dp Arrombado. São cerca de 3km de estrada de Piçarra até chegar ao mar. É um local mais rústico, de pequenos restaurantes, mas de uma praia excelente para banho. Um local alternativo.",NA,NA,NA,NA,NA,NA,NA,NA,59,Promotor
NA,Arrombado Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shyrlenne S,NA,5,"March 30, 2016",0,5,Viagem,Uma excelente Praia para você é toda sua família. Que procura tranquilidade e uma bela paisagem. 🏊🏊🏊🏊🌴🌴🌴🌴🌴🌴🌞🌞🌞🌞🌞,NA,NA,NA,NA,NA,NA,NA,NA,17,Promotor
NA,Arrombado Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,José F,NA,22,"March 25, 2016",1,5,Perfeita!,"De estonteante beleza, a Praia do Arrombado é lindíssima, e nos proporciona uma interação singular com a natureza.",NA,NA,NA,NA,NA,NA,NA,NA,18,Promotor
NA,Arrombado Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gabriela F,NA,22,"February 12, 2016",0,5,Melhor praia,"Das prais que ja frequentei em LC, a do Arrombado foi a melhor. Excelente atendimento na barraca que ficamos. A praia eh linda, com dunas em um determinado local e uma otima visao das outras barracas da praia. O mar eh plano, as ondas, mesmo em maré cheia, sao calmas. Agua limpa. Quando a mare vai enchendo com o passar do dia, a agua de aproxima das barracas, o vento aumenta, é uma linda paisagem. Bem calma, tranquila e linda. Melhor praia.",NA,NA,NA,NA,NA,NA,NA,NA,82,Promotor
NA,Arrombado Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gislene N,"-5.1864402,-42.78481955",35,"January 1, 2016",0,4,Vale a pena,"O acesso a praia é através de estrada carroçal,mas são poucos quilômetros.
A ondas são muito fortes. Praia pouco frequentada.
As barracas possuem atendimento precário, mas os pratos servidos são uma delicia! Principalmente o Pargo",NA,NA,NA,NA,NA,NA,NA,NA,35,Promotor
NA,Arrombado Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,claudicruz,"-5.0937396,-42.74107815",105,"September 16, 2015",0,2,ruim,"Achei péssimo o lugar, muito mal estruturado, bares horríveis e quase não tem opção de comida. De difícil acesso.",NA,NA,NA,NA,NA,NA,NA,NA,19,Detrator
NA,Arrombado Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Valéria R,NA,109,"September 2, 2015",0,4,Praia para descansar. Sem barulho.,Praia rustica com estrutura simples sem luxo. O mar é um pouco mais agitado com longa faixa de areia.,NA,NA,NA,NA,NA,NA,NA,NA,19,Promotor
NA,Arrombado Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,marcelo n,"-22.615004,-46.7209476",77,"August 21, 2015",0,5,Natureza Belissima,"Muito bonita mas com barracas muito feias, é uma pena.Dá uma impressao de sujo, talvez seja pela proibicao de contruir no local.",NA,NA,NA,NA,NA,NA,NA,NA,22,Promotor
NA,Arrombado Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jader A,"-7.0726203,-41.43758765",73,"August 16, 2015",0,4,Ótima para banho,"Ótima praia pra quem quer um local mais tranquilo, o banho é ótimo, mas as opções de alimentação são bem limitadas.",NA,NA,NA,NA,NA,NA,NA,NA,21,Promotor
NA,Arrombado Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Luciano658,"-5.0937396,-42.74107815",200,"July 28, 2015",0,5,calma e maravilhosa,"A praia fica a uns 15 km da sede de Luis Correia, sendo apenas 3 km de piçarra. É tranquila, dá até pra armar uma redinha no restaurante. O mar fica muito próximo das barracas, não precisa nem andar muito para ir tomar um banho. Ela é ideal para quem quer tranquilidade, pois embora uma das melhores de nosso litoral, não está ainda, graças a Deus, entre as preferidas.",NA,NA,NA,NA,NA,NA,NA,NA,69,Promotor
NA,Arrombado Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Renata R,"-5.0937396,-42.74107815",113,"July 7, 2015",0,5,Tranquilidade,"Praia calma e bem frequentada, só tem pouca estrutura para atender o número de pessoas que visita, a água do mar dessa praia geralmente é bem forte, etão é preciso ter cuidado.",NA,NA,NA,NA,NA,NA,NA,NA,32,Promotor
NA,Arrombado Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Beth,"-15.72176215,-47.93735785",86,"June 10, 2015",0,5,Show!,"Adoro essa praia, maravilhosa para ir com a família, super calma. Não demos sorte da última vez que tivemos que nos indispor com alguns frequentadores da capital que não tem muito respeito pelos turistas de outros estados e acabamos saindo mais cedo do local, porém quando retornamos alguns dias depois percebemos o quanto a praia é especial, a última barraquinha da rua tem um atendimento nota 10000. A pescada amarela é um prato delicioso.",NA,NA,NA,NA,NA,NA,NA,NA,74,Promotor
NA,Arrombado Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tonkka,"-22.91413075,-43.44598205",214,"March 31, 2015",2,5,É a melhor praia,"Praia de águas quentes e ondas macias que começa na Pousada Vila Itaqui e vai até Macapá numa longa caminhada. É local de desova de tartarugas marinhas . Com sorte, de madrugada, é possível vê-las saindo dos ovos em direção ao mar. Ótimo programa.",NA,NA,NA,NA,NA,NA,NA,NA,44,Promotor
NA,Arrombado Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KarinaFreire,"31.3238535,-85.8338605",216,"February 17, 2015",2,2,Isolado demais,"Para quem gosta de praias isoladas, essa é uma boa opção. Eu prefiro lugares mais estruturados, com melhor acesso. Para chegar a praia pega-se uma estrada de terra super ruim, além de ser um pouco deserta.",NA,NA,NA,NA,NA,NA,NA,NA,36,Detrator
NA,Arrombado Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,jfsuzim,"-5.0937396,-42.74107815",7,"October 30, 2014",0,4,Pequenas represas,"Praia tranquila e que fica com pequenas represas de água próximo à barraca, sendo uma boa diversão para crianças.",NA,NA,NA,NA,NA,NA,NA,NA,19,Promotor
NA,Arrombado Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JamestonFrota,"-5.0937396,-42.74107815",15,"October 20, 2014",0,5,Praia afastada e rústica.,"A praia do Arrombado já foi mais calma, mas não perdeu seu clima mais intimista, boa comida, preço bem em conta e excelente atendimento, local muito rústico.",NA,NA,NA,NA,NA,NA,NA,NA,27,Promotor
NA,Arrombado Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,edmilson-martin... m,"-15.72176215,-47.93735785",12,"September 6, 2014",0,5,Praia,"para quem gosta de tranquilidade é uma excelente praia, um local bastante atraente calmo um mar calmo para o banho, com barracas  para atendimento agradável.",NA,NA,NA,NA,NA,NA,NA,NA,25,Promotor
NA,Arrombado Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FlavioFerry,"-5.0937396,-42.74107815",19,"September 2, 2014",0,5,paz e tranquilidade,"Uma praia de banho delicioso. Pouco frequentada, restaurantes rusticos como na atalaia dos anos 70. Carangueijo bom. Banho otimo.",NA,NA,NA,NA,NA,NA,NA,NA,19,Promotor
NA,Arrombado Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adriana2701,"-15.72176215,-47.93735785",143,"August 28, 2014",0,4,Boa praia,"Tranquila e bem bonita, é boa pra banho e tem uma estrutura de barracas razoável. Almoçamos no local e fomos bem atendidos e a comida estava gostosa.
Mas confesso que, apesar de gostar da praia, não fiquei apaixonada pelo local.",NA,NA,NA,NA,NA,NA,NA,NA,40,Promotor
NA,Arrombado Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corina L,"-6.8392544,-43.19935825",128,"August 18, 2014",0,5,Praia do Arrombado um paraíso na Terra.,"Uma praia paradisíaca, linda, com ondas maravilhosas, vento gostoso e extremamente limpa. Bares com banheiros limpos, estacionamento e bom atendimento. Um local para relaxar do desconforto do dia a dia. Ideal para quem quer sossego. Ideal para fotografar, curtir o dia com quem você gosta.",NA,NA,NA,NA,NA,NA,NA,NA,45,Promotor
NA,Arrombado Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Genilson1983,NA,216,"August 12, 2014",0,4,Convite a belas fotos,"Quer seja para sentar e comer algo do mar, quer seja para pratica de esportes radicais, ou mesmo um mergulho relaxante a praia do arrombado é ideal. De uma localização mais restrita e dotada de um conjunto areia cor do mar agradável a praia do arrombado nos permite fotografar e relaxar em meio a um ambiente preservado e mais privativo.",NA,NA,NA,NA,NA,NA,NA,NA,60,Promotor
NA,Arrombado Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tayrone T,"-5.0937396,-42.74107815",15,"June 22, 2014",0,5,viagem com a familia,"praia fica depois da praia do coqueiro, logo apos de uma especie de cartao postal que e um coqueiro deitado, linda foto, a praia e otimo para banhar, praticar esporte na areia e diversao garantida com a criancada",NA,NA,NA,NA,NA,NA,NA,NA,38,Promotor
NA,Arrombado Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fábio E,"-5.0937396,-42.74107815",24,"May 25, 2014",1,4,Radical,"Praia boa para o surf. Ótimo local para a prática de esportes radicais com surf, windsurf, kitesurf e outros. Ainda com pouca infraestrutura, mas um local interessante para conhecer.",NA,NA,NA,NA,NA,NA,NA,NA,29,Promotor
NA,Arrombado Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LUANA P,"-5.0937396,-42.74107815",59,"April 29, 2014",0,4,Maravilha,Pra quem gosta de praias mais tranquilas e mais afastadas esse é o lugar ideal. Praia com ventos muitos fortes...tem ótimos bares e com preços ótimos.,NA,NA,NA,NA,NA,NA,NA,NA,26,Promotor
NA,Arrombado Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LaylaMaria,"-15.72176215,-47.93735785",91,"January 27, 2014",0,4,Tranquila e linda!,"Para chegar à Praia do Arrombado é preciso estar de carro e lá não existem muitas barracas e restaurantes, por esse motivo é ideal para quem está a procura de sossego. Vale a pena provar a porção de batata doce frita que é vendida em todas as barracas.",NA,NA,NA,NA,NA,NA,NA,NA,48,Promotor
NA,Arrombado Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roberto C,"-5.0937396,-42.74107815",8,"January 27, 2014",0,5,Praia belíssima e atendimento de primeira,"Atendimento muito bom, comida farta e preços justos. Para banho é um tanto quanto perigosa, pois o mar é bastante agitado após às 11:00 da manhã.",NA,NA,NA,NA,NA,NA,NA,NA,26,Promotor
NA,Arrombado Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GLEBERSON o,"-5.1952368,-37.34164",86,"December 24, 2013",0,4,super calma,Quase nada de estrutura para os turistas. Tem que ir de carro. A fraca estrutura e a localização faz com que essa praia seja perfeita no quesito tranquilidade. Fui em um dia de semana fora de temporada com meus amigos e curtimos muito o visual. Não tinha mais ninguem na praia!!,NA,NA,NA,NA,NA,NA,NA,NA,51,Promotor
